id,category,question,answer
1,Component & Instance,여러 프레임 내 다수의 컴포넌트 인스턴스를 한 번에 분리하는 방법이나 플러그인이 있을까요?,"피그마에서 여러 프레임 안에 있는 컴포넌트 인스턴스들을 동시에 선택하고 '인스턴스 분리(Detach Instance)'하는 것은 기본 기능만으로는 다소 번거로울 수 있습니다. 하지만 이를 돕는 방법과 유용한 플러그인이 있습니다.

### ✅ 기본 방법 (수동)
1.  **여러 프레임 선택**: `Shift`나 `Cmd/Ctrl` 클릭으로 다중 선택합니다.
2.  **인스턴스 선택**: 선택된 프레임 내에서 `Cmd/Ctrl + A`를 눌러 모든 레이어를 선택한 후, `Cmd/Ctrl + Shift + B` (Mac) 또는 `Ctrl + Shift + B` (Windows)를 눌러 선택된 모든 인스턴스를 분리합니다. 또는 마우스 우클릭 → `Detach Instance`를 선택합니다.
    *   **팁**: 특정 인스턴스만 선택하려면, `Edit` 메뉴에서 `Select All with Same Instance`를 활용할 수 있습니다.

> **단점**: 프레임 안에 인스턴스가 많고 다른 레이어와 섞여 있을 경우, 인스턴스만 정확히 필터링하여 선택하기가 어려울 수 있습니다.

### ✅ 추천 플러그인 (더 효율적)
인스턴스 분리 작업을 효율적으로 수행하려면 플러그인을 사용하는 것이 좋습니다.

#### 1. **Master**
*   **주요 기능**: 선택된 인스턴스들을 한 번에 메인 컴포넌트로 이동하거나, 모든 인스턴스를 분리(Detach)하는 기능을 제공합니다.
*   **사용법**: 여러 프레임을 선택한 후 플러그인을 실행하고 `Detach all instances` 옵션을 선택하면 됩니다.
*   [Figma Community – Master](https://www.figma.com/community/plugin/732273243483204029/Master)

#### 2. **Instance Utilities**
*   **주요 기능**: 인스턴스 관련 다양한 유틸리티를 제공하며, 선택된 인스턴스를 일괄 분리하는 기능도 포함되어 있습니다.
*   **사용법**: 여러 프레임을 선택한 후 플러그인을 실행하고 `Detach Instances` 기능을 사용합니다.
*   [Figma Community – Instance Utilities](https://www.figma.com/community/plugin/739702220400000000/Instance-Utilities)

이 플러그인들을 활용하면 다수의 인스턴스 분리 작업을 훨씬 빠르고 정확하게 처리할 수 있습니다."
2,Publishing & Library,피그마 퍼블리싱 후 인스턴스 컴포넌트가 업데이트되지 않고 이전 버전 이름을 유지하는 문제가 발생합니다. 원인과 해결 방법이 궁금합니다.,"피그마에서 라이브러리를 퍼블리시했는데 인스턴스가 업데이트되지 않거나 이전 버전 이름을 가지고 있다면, 다음 점검 순서를 따라 문제를 해결할 수 있습니다.

### 🎯 인스턴스 업데이트 문제 해결 점검 순서

1.  **✅ 퍼블리시 직전 업데이트 확인**
    *   라이브러리를 퍼블리시하기 전에, 해당 파일에서 `Assets` 패널 상단의 `Update from library` 버튼을 눌러 최신 상태로 맞춰두세요.
    *   오래된 인스턴스가 파일 내에 남아있으면, 새 버전 퍼블리시 후에도 반영이 꼬일 수 있습니다.

2.  **🧩 컴포넌트 연결 문제**
    *   업데이트되지 않는 인스턴스를 선택한 후, 오른쪽 사이드바의 `Component` 섹션에서 `Go to Main Component` 아이콘(다이아몬드 모양)을 클릭하여 메인 컴포넌트로 이동되는지 확인합니다.
    *   만약 이동되지 않는다면, 인스턴스와 메인 컴포넌트의 연결이 끊긴 상태일 수 있습니다.
    *   `Assets` 패널 > `Libraries` 탭에서 해당 라이브러리를 껐다가 다시 켜보세요. (라이브러리 토글 버튼)

3.  **🌐 네트워크 / 캐시 문제**
    *   퍼블리시 반영이 즉시 안 될 경우, 피그마 앱을 새로고침(`Cmd/Ctrl + R`)하거나 완전히 종료 후 재시작해 보세요.
    *   브라우저에서 피그마를 사용하는 경우, 브라우저 캐시를 삭제하면 해결되는 경우도 있습니다.

4.  **📦 퍼블리시 미완료**
    *   메인 컴포넌트를 수정했지만, `Assets` 패널 상단의 `Publish changes` 버튼을 누르지 않은 경우 인스턴스는 이전 버전을 유지합니다.
    *   수정 사항을 라이브러리에 반영하려면 반드시 `Publish changes` 버튼을 클릭해야 합니다.

5.  **🪞 이름 변경만 한 경우**
    *   인스턴스의 이름은 메인 컴포넌트의 이름과 자동으로 동기화되지 않습니다. 인스턴스 자체의 이름은 사용자가 변경할 수 있으며, 이는 메인 컴포넌트 업데이트와는 별개입니다.
    *   만약 메인 컴포넌트의 이름이 변경되었더라도, 기존 인스턴스의 이름은 수동으로 변경해야 합니다."
3,Export & Print,"피그마에서 인쇄물 작업을 위해 TinyImage 플러그인으로 CMYK PDF를 추출했는데, 색상이 탁해집니다. RGB 색상과 최대한 비슷하게 추출할 수 있는 방법이 있을까요?","피그마는 웹/앱 디자인에 최적화된 도구로 기본적으로 RGB(빛의 3원색) 색상 환경을 사용합니다. 반면 인쇄는 CMYK(잉크의 4원색) 환경을 사용하기 때문에, RGB 색상을 CMYK로 변환할 때 색상이 탁해지는 현상은 피그마 사용자들의 가장 흔한 고충 중 하나입니다.

특히 형광기가 도는 밝은 색상(네온 그린, 쨍한 블루 등)은 CMYK 잉크로 표현할 수 있는 색상 범위를 넘어서기 때문에, CMYK로 변환되는 순간 채도가 급격히 떨어지고 회색빛이 돌게 됩니다. 완벽하게 똑같이 만드는 것은 물리적으로 불가능하지만, 최대한 비슷하게 보정하는 몇 가지 현실적인 방법을 알려드리겠습니다.

### ✅ 일러스트레이터나 포토샵을 거치는 방법 (가장 추천)
피그마나 TinyImage 플러그인의 자동 변환은 색상 매칭 알고리즘이 아주 정교하지는 않습니다. 어도비 프로그램의 색상 엔진이 훨씬 강력하므로, 이 방법을 추천합니다.

1.  **피그마에서 PDF(RGB 상태)로 내보냅니다.** (TinyImage를 사용하지 않고 피그마 기본 내보내기 기능으로 PDF를 추출합니다.)
2.  해당 파일을 **일러스트레이터**에서 엽니다.
3.  `파일(File) > 문서 색상 모드(Document Color Mode) > CMYK 색상`으로 변경합니다.
4.  이 과정에서 탁해진 색상을 직접 눈으로 보며, 팔레트에서 채도와 명도를 조금씩 올려서 RGB 원본과 비슷해 보이도록 수동으로 보정합니다. (이 과정을 '후가공'이라고 합니다.)
5.  **포토샵**을 사용하는 경우, PDF를 열 때 CMYK로 변환하고, `Image > Adjustments` 메뉴의 `Hue/Saturation`, `Color Balance`, `Curves` 등을 사용하여 색상을 보정할 수 있습니다.

### ✅ TinyImage 설정 변경하기
TinyImage 플러그인 자체에서 CMYK 변환 시 색상 프로필을 조절하는 옵션이 있다면, 이를 활용해 볼 수 있습니다. (플러그인 버전에 따라 옵션이 다를 수 있습니다.)

*   **ICC 프로필 선택**: TinyImage 설정에서 CMYK 변환 시 사용할 ICC 프로필을 선택할 수 있다면, 인쇄소에서 권장하는 프로필(예: FOGRA39, Coated FOGRA27 등)을 사용해 보세요. 이는 인쇄 결과물의 색상 일관성을 높이는 데 도움이 됩니다.
*   **미리보기**: 일부 플러그인은 CMYK 변환 미리보기 기능을 제공하기도 합니다. 이를 통해 변환 후 색상을 미리 확인하고 조정할 수 있습니다.

### ✅ 디자인 단계에서 CMYK 고려
가장 근본적인 해결책은 디자인 초기 단계부터 CMYK 색상 범위를 고려하는 것입니다.

*   **CMYK 팔레트 사용**: 웹에서 CMYK 색상 코드를 제공하는 팔레트 도구를 참고하여, 처음부터 CMYK로 변환해도 크게 변하지 않을 색상을 선택하는 것이 좋습니다.
*   **인쇄물 레퍼런스 활용**: 실제 인쇄된 결과물을 참고하여 색상을 선택하면, 예상치 못한 색상 변화를 줄일 수 있습니다.

이러한 방법들을 통해 피그마에서 인쇄물 작업을 할 때 발생하는 색상 문제를 최소화하고, 원하는 결과물에 더 가깝게 만들 수 있습니다."
4,Variables & Design System,"900페이지에 달하는 웹/모바일 화면의 전체 간격과 라운드 값을 피그마 베리어블로 적용해야 합니다. 베리어블 등록은 가능하지만, 많은 페이지에 한 번에 적용할 수 있는 효율적인 방법이나 플러그인 추천을 부탁드립니다. 'link spacing variables' 플러그인은 적용되지 않습니다.","900페이지에 달하는 기존 디자인에 간격(Spacing)과 라운드(Radius) 값을 베리어블로 일괄 적용해야 하는 상황은 매우 어려운 작업입니다. 베리어블(디자인 토큰)은 주로 컴포넌트에 적용하여 디자인 시스템을 구축하고 효율성을 높이는 데 사용됩니다. 페이지 전체에 직접 적용하는 것은 일반적인 워크플로우는 아닙니다.

하지만 이미 디자인이 완료된 상태에서 고객사의 요구사항을 충족해야 하므로, 현실적인 접근 방법을 찾아야 합니다.

### 🎯 문제 진단 및 접근 방법

1.  **베리어블 적용의 범위**:
    *   **라운드(Radius) 값**: `Border Radius`는 개별 레이어에 직접 적용될 수 있으므로, 플러그인을 통해 일괄 변경할 가능성이 높습니다.
    *   **간격(Spacing) 값**: `Auto Layout`이 적용된 프레임이나 컴포넌트 내부의 `Gap`이나 `Padding`에 베리어블을 적용하는 것이 일반적입니다. 만약 기존 디자인이 `Auto Layout` 없이 수동으로 간격이 맞춰져 있다면, 베리어블 적용이 매우 어렵거나 불가능할 수 있습니다.

2.  **'link spacing variables' 플러그인 문제**:
    *   이 플러그인이 작동하지 않는다면, 기존 디자인 요소들이 플러그인이 인식하고 변경할 수 있는 형태로 구성되어 있지 않을 가능성이 큽니다. 예를 들어, `Auto Layout`이 적용되지 않은 프레임이나 그룹의 간격은 플러그인이 자동으로 베리어블로 연결하기 어렵습니다.

### ✅ 현실적인 해결 방안

#### 1. **플러그인 활용 (가능성 탐색)**
*   **Radius 관련 플러그인**:
    *   `Radius` 값을 일괄 변경하는 플러그인을 찾아보세요. 예를 들어, `Batch Styler`는 색상, 텍스트 스타일 외에 `Radius`도 일괄 변경할 수 있는 경우가 있습니다. 또는 `Super Tidy` 같은 플러그인도 특정 속성을 일괄 변경하는 기능을 제공할 수 있습니다.
    *   **사용법**: 모든 페이지를 선택하거나, 특정 페이지 내 모든 레이어를 선택한 후 플러그인을 실행하여 `Radius` 값을 베리어블로 연결하거나 직접 변경합니다.
*   **Spacing 관련 플러그인**:
    *   `Auto Layout`이 적용되지 않은 간격은 플러그인으로 베리어블을 연결하기 매우 어렵습니다. 만약 `Auto Layout`이 적용된 컴포넌트나 프레임이 있다면, `Auto Layout`의 `Gap`이나 `Padding`에 베리어블을 적용하는 플러그인(예: `Auto Layout Variables` 또는 `Variable Setter`)을 찾아볼 수 있습니다.
    *   하지만 900페이지 전체에 `Auto Layout`이 적용되지 않았다면, 이 방법은 한계가 있습니다.

#### 2. **수동 작업 + 컴포넌트화 (장기적 효율성)**
*   **기존 컴포넌트 재활용**: 만약 반복되는 UI 요소들이 있다면, 이를 컴포넌트로 만들고 `Auto Layout`을 적용한 후 `Spacing`과 `Radius` 베리어블을 연결합니다.
*   **페이지별 적용**: 900페이지 전체를 한 번에 처리하기 어렵다면, 우선순위가 높은 페이지나 가장 많이 사용되는 패턴부터 수동으로 `Auto Layout`을 적용하고 베리어블을 연결하는 작업을 시작합니다.
*   **컴포넌트 스왑**: 기존에 컴포넌트화되지 않은 유사한 요소들을 새로 만든 컴포넌트로 스왑하는 플러그인(예: `Similayer`, `Master`)을 활용하여 작업량을 줄일 수 있습니다.

#### 3. **고객사와의 협의**
*   현재 디자인 상태(900페이지, `Auto Layout` 미적용 등)를 고객사에게 설명하고, 모든 간격과 라운드 값을 베리어블로 완벽하게 전환하는 데 드는 시간과 노력을 명확히 전달하는 것이 중요합니다.
*   **대안 제시**:
    *   **핵심 컴포넌트 위주 적용**: 모든 페이지가 아닌, 핵심적인 UI 컴포넌트(버튼, 카드, 입력 필드 등)에만 베리어블을 적용하고, 나머지 부분은 가이드라인으로 제시하는 방안을 제안할 수 있습니다.
    *   **단계적 적용**: 이번에는 주요 부분만 적용하고, 향후 유지보수 단계에서 점진적으로 베리어블을 확장하는 계획을 제안할 수도 있습니다.

### 💡 추가 팁
*   **선택 필터링**: `Cmd/Ctrl + Shift + L` (Select All Layers) 또는 `Cmd/Ctrl + Alt + A` (Select All Similar Layers) 같은 단축키를 활용하여 유사한 레이어를 선택한 후, 속성 패널에서 `Radius` 값을 한 번에 변경해 보세요. 베리어블로 연결하는 기능이 없다면, 일단 직접 값을 입력하는 방식으로라도 일괄 변경할 수 있습니다.
*   **Figma API/Script**: 만약 개발 지식이 있다면 Figma API를 활용하여 스크립트를 작성하는 방법도 있지만, 이는 매우 전문적인 영역입니다.

혼자서 900페이지를 처리하는 것은 엄청난 부담이므로, 위 방법들을 조합하여 가장 효율적인 경로를 찾아보시길 바랍니다. 고객사와의 명확한 소통을 통해 현실적인 목표를 설정하는 것이 중요합니다."
5,Reference & Resource,G마켓 디자인 가이드나 디지털 정부 서비스 가이드처럼 체계적으로 정리된 다른 디자인 시스템 가이드 사이트를 추천해 주실 수 있나요?,"G마켓 디자인 가이드나 디지털 정부 서비스 가이드처럼 디자인과 UX/UI 관련 가이드를 체계적으로 제공하는 사이트를 찾으신다면, 다음과 같은 글로벌 디자인 시스템 가이드들이 참고할 만합니다.

1.  **Apple Human Interface Guidelines (HIG)**
    *   **설명**: Apple에서 제공하는 인터페이스 가이드로, iOS, macOS, watchOS, tvOS 앱 디자인 시 고려할 점들을 상세하게 정리해 놓았습니다. 디자인 원칙, 구성 요소, 모션, 접근성 등에 대한 정보가 풍부하며, Apple 생태계 디자인의 표준을 제시합니다.
    *   **링크**: [developer.apple.com/design/human-interface-guidelines](https://developer.apple.com/design/human-interface-guidelines/)

2.  **Material Design by Google**
    *   **설명**: 구글의 Material Design 가이드는 Android 앱뿐만 아니라 웹과 크로스 플랫폼 디자인을 위한 유용한 자료입니다. 색상, 타이포그래피, 레이아웃 등 기본 요소와 함께 다양한 컴포넌트에 대한 가이드가 체계적으로 정리되어 있습니다. 시각적으로 풍부하고 애니메이션 원칙까지 다룹니다.
    *   **링크**: [m3.material.io](https://m3.material.io/) (Material Design 3)

3.  **Microsoft Fluent Design System**
    *   **설명**: Microsoft의 Fluent Design System은 Windows, Xbox, Microsoft 365 등 Microsoft 플랫폼에서 일관된 디자인을 제공하기 위해 설계된 가이드입니다. 빛, 깊이, 모션, 재료, 스케일의 다섯 가지 핵심 요소를 기반으로 하며, 적응형 디자인과 접근성을 강조합니다.
    *   **링크**: [fluent2.microsoft.design](https://fluent2.microsoft.design/)

4.  **IBM Carbon Design System**
    *   **설명**: IBM의 Carbon Design System은 오픈 소스 디자인 시스템으로, 복잡한 엔터프라이즈 제품을 위한 디자인 원칙, 컴포넌트, 패턴을 제공합니다. 개발자와 디자이너 간의 협업을 강조하며, 접근성과 사용성을 중요하게 다룹니다.
    *   **링크**: [carbondesignsystem.com](https://carbondesignsystem.com/)

이 외에도 다양한 기업들이 자체 디자인 시스템을 공개하고 있으니, 특정 산업군이나 스타일을 참고하고 싶다면 해당 기업의 디자인 시스템을 검색해 보는 것도 좋은 방법입니다."
6,Typography,Pretendard Variable 폰트와 일반 Pretendard 폰트의 차이점은 무엇인가요?,"Pretendard Variable 폰트와 일반 Pretendard 폰트의 가장 큰 차이점은 **Variable Font(가변 폰트)** 기술의 적용 여부입니다.

### 💡 Variable Font(가변 폰트)란?
Variable Font는 최신 OpenType 폰트 기술로, **하나의 폰트 파일 안에 폰트의 두께(Weight), 넓이(Width), 기울기(Slant) 등 다양한 스타일 변화를 담을 수 있는 혁신적인 기술**이에요.

예전에는 '굵은 글씨', '얇은 글씨', '기울어진 글씨'마다 각각 다른 폰트 파일을 불러와야 했지만, Variable Font는 이 모든 것을 하나의 파일로 통합한 거죠.

### ✅ Variable Font를 사용하는 주된 이유

1.  **웹 성능 최적화 (Web Performance Optimization)**
    *   **파일 크기 감소**: 가장 큰 장점 중 하나예요. 여러 스타일의 폰트 파일을 각각 불러오는 대신 하나의 파일만 로드하면 되기 때문에 전체 폰트 파일 용량을 크게 줄일 수 있어요. 예를 들어, 5가지 스타일을 사용한다면 Variable Font 하나가 기존 5개 파일보다 훨씬 작을 수 있습니다.
    *   **HTTP 요청 감소**: 폰트 파일 수가 줄어들면서 웹 서버에 대한 HTTP 요청 수도 감소해요. 이는 웹 페이지 로딩 속도를 향상시켜 사용자 경험을 개선하고, SEO(검색 엔진 최적화)에도 긍정적인 영향을 줍니다.

2.  **디자인 유연성 및 정교함**
    *   **무한한 스타일 조합**: 두께, 넓이, 기울기 등 축(axis)을 따라 연속적인 변화를 줄 수 있어, 기존 폰트로는 불가능했던 미세하고 정교한 타이포그래피 디자인이 가능해집니다. 예를 들어, 100부터 900까지의 두께를 1단위로 조절할 수 있습니다.
    *   **반응형 타이포그래피**: 화면 크기나 디바이스 환경에 따라 폰트의 스타일을 동적으로 조절하여 최적의 가독성과 미학을 제공할 수 있습니다.

### 📝 Pretendard Variable과 Pretendard의 차이 요약

*   **Pretendard (일반)**: 'Pretendard Thin', 'Pretendard Light', 'Pretendard Regular', 'Pretendard Bold' 등 각 두께(Weight)별로 별도의 폰트 파일이 존재합니다. 디자인 시 원하는 두께의 폰트 파일을 선택하여 사용합니다.
*   **Pretendard Variable**: 하나의 폰트 파일 안에 Pretendard의 모든 두께(Weight) 정보가 담겨 있습니다. 피그마나 웹 환경에서 `Weight` 슬라이더를 조절하여 폰트 두께를 자유롭게 변경할 수 있습니다.

따라서, 웹 환경에서 성능을 최적화하고 디자인의 유연성을 극대화하고 싶다면 Pretendard Variable 폰트를 사용하는 것이 훨씬 유리합니다. 피그마에서도 Variable Font를 지원하므로, 디자인 작업 시에도 이점을 누릴 수 있습니다."
7,Reference & Resource,홈페이지 사용자 가이드 제작을 위한 좋은 레퍼런스나 도구가 있을까요? 디자인 가이드가 아닌 실제 사용을 위한 가이드에 대한 질문입니다.,"사용자 가이드(매뉴얼), 기술 및 정책 문서를 웹사이트로 만들어주는 AI 기반 도구와 좋은 사용자 가이드를 만드는 팁을 공유합니다.

### AI 기반 사용자 가이드 제작 도구
*   **Document360**: AI로 사용자 가이드를 만들어주는 사이트 (14일 트라이얼 제공)
    *   [https://document360.com/](https://document360.com/)
*   **ClickHelp**: Document360과 유사하며 레이아웃 커스터마이징이 좀 더 쉬움 (3주 트라이얼 제공)
    *   [https://clickhelp.com/](https://clickhelp.com/)
*   **Paligo**: 레이아웃이 가장 깔끔하며 데모 신청 필요
    *   [https://paligo.net/](https://paligo.net/)

### 좋은 사용자 가이드를 만드는 팁
1.  **명확한 언어 사용**: 쉽고 이해하기 쉬운 용어를 사용합니다.
2.  **명확한 계층 구조**: 정보를 논리적으로 분류하고 구조화하여 사용자가 원하는 정보를 쉽게 찾을 수 있도록 합니다.
3.  **비주얼 요소 활용**: 이미지, 스크린샷, 비디오 등을 활용하여 이해도를 높입니다.
4.  **SEO 최적화**: 검색 엔진에 노출될 수 있도록 키워드를 포함하여 제작합니다.
5.  **앱 내 가이드 활용**: 제품/서비스 내에서 직접 가이드를 제공하여 접근성을 높입니다.
6.  **사용자 유형별 가이드**: 다양한 사용자 그룹의 니즈에 맞춰 맞춤형 가이드를 제공합니다.
7.  **데이터 분석 및 수집**: 가이드 사용 데이터를 분석하고 사용자 피드백을 수집하여 지속적으로 개선합니다.
8.  **유저 피드백 요청**: 사용자로부터 직접 피드백을 받아 가이드의 품질을 향상시킵니다."
8,Publishing & Library,피그마 파일에 등록된 텍스트 스타일을 다른 파일에서도 동일하게 사용하고 싶습니다. 이를 위한 방법이 있을까요?,"피그마에서 한 파일에 등록된 텍스트 스타일을 다른 파일에서 사용하려면 **라이브러리(Library)** 기능을 활용해야 합니다. 별도의 플러그인 없이 피그마 자체 기능으로 가능합니다.

**라이브러리로 텍스트 스타일 공유하는 방법:**

1.  **원본 파일 열기**: 텍스트 스타일이 등록되어 있는 피그마 파일을 엽니다.
2.  **Assets 패널 접근**: 왼쪽 사이드바에서 'Assets' 탭을 클릭합니다.
3.  **라이브러리 아이콘 클릭**: 'Assets' 탭 상단에 있는 책 모양 아이콘(📚)을 클릭하여 'Libraries' 모달을 엽니다.
4.  **스타일 퍼블리시**: 현재 파일 옆에 있는 'Publish' 버튼을 클릭합니다. 이 과정을 통해 해당 파일의 텍스트 스타일, 컬러 스타일, 컴포넌트, 변수 등이 라이브러리로 게시됩니다.
5.  **다른 파일에서 활성화**: 텍스트 스타일을 사용하고 싶은 다른 피그마 파일을 엽니다.
6.  **라이브러리 활성화**: 다시 'Assets' 탭 → 'Libraries' 아이콘을 클릭하여 모달을 엽니다. 방금 퍼블리시한 파일의 라이브러리를 찾아 토글 버튼을 켜서 활성화(Enable)합니다.

이제 다른 파일에서도 퍼블리시된 텍스트 스타일을 사용할 수 있습니다. 텍스트 스타일이 라이브러리로 퍼블리시될 때, 해당 파일의 변수(Variables)도 함께 포함되어 공유됩니다."
9,UX/UI Design,웹사이트에서 메인 페이지와 로그인/상세 페이지의 마진(여백)을 다르게 설정하는 이유가 무엇인가요?,"웹사이트에서 메인 페이지와 로그인/상세 페이지의 마진(여백)을 다르게 설정하는 것은 여러 가지 디자인 및 사용자 경험(UX)적 이유가 있습니다.

1.  **사용자 경험(UX) 최적화**:
    *   **로그인 페이지**: 사용자가 특정 행동(로그인)에 집중하도록 유도합니다. 불필요한 시각적 요소를 줄이고, 여백을 조절하여 입력 필드와 버튼에 시선이 집중되도록 합니다.
    *   **상세 페이지**: 콘텐츠(상품 정보, 블로그 글 등)에 집중하게 만듭니다. 좁은 폭의 레이아웃은 긴 텍스트 콘텐츠의 가독성을 높여 사용자가 내용을 편안하게 읽을 수 있도록 돕습니다.

2.  **디자인 계층 구조 (Hierarchy) 및 정보 밀도**:
    *   **메인 페이지**: 다양한 정보와 섹션을 보여주며, 넓은 여백을 통해 각 섹션의 구분을 명확히 하고 시각적인 휴식을 제공합니다. 정보의 밀도가 높을 수 있어 적절한 여백이 중요합니다.
    *   **상세 페이지**: 특정 콘텐츠에 대한 깊이 있는 정보를 제공하므로, 콘텐츠 자체의 가독성과 집중도를 높이는 것이 우선입니다. 따라서 메인 페이지보다 여백을 줄여 콘텐츠를 더 부각시키거나, 텍스트 블록의 폭을 좁게 가져가 가독성을 확보합니다.

3.  **브랜드 인상 및 목적 차이**:
    *   **메인 페이지**: 브랜드의 첫인상을 결정하며, 시각적으로 풍부하고 매력적인 디자인을 통해 사용자에게 긍정적인 경험을 제공하는 데 중점을 둡니다.
    *   **로그인/설정 페이지**: 기능 중심적이며, 깔끔하고 실용적인 구성이 우선입니다. 효율적인 정보 전달과 사용자 행동 유도에 초점을 맞춥니다.

4.  **기술적인 이유 (공통 레이아웃 vs 개별 레이아웃)**:
    *   개발 단계에서 메인 페이지는 `MainLayout`, 로그인 페이지는 `AuthLayout`, 상세 페이지는 `ContentLayout` 등 각 페이지의 목적에 맞는 별도의 레이아웃 컴포넌트로 설계되는 경우가 많습니다. 이 과정에서 각 레이아웃에 최적화된 마진 및 패딩 값이 적용될 수 있습니다."
10,Auto Layout,부모 프레임 리사이징 시 자식 텍스트 레이어의 폰트 사이즈를 자동으로 리사이징하는 방법이 있나요? (K 스케일 툴 제외),"피그마에서 부모 프레임 리사이징 시 자식 텍스트 레이어의 폰트 사이즈를 자동으로 리사이징하는 기능은 기본적으로 제공되지 않습니다. `K (Scale)` 툴을 사용하면 전체 스케일링은 가능하지만, 이는 폰트 사이즈를 반응형으로 조절하는 방식과는 다릅니다. 피그마의 반응형 속성인 `Fill container`는 텍스트 레이어의 너비나 높이에는 적용 가능하지만, 폰트 사이즈 자체는 정수만 입력 가능한 `Fixed size` 속성이므로 화면 넓이에 따라 세세하게 폰트 사이즈를 반응형으로 조절할 수는 없습니다. 현재까지는 플러그인이나 다른 야매 방식도 폰트 사이즈를 유동적으로 조절하는 직접적인 방법은 없습니다."
