Date,User,Message
2023-10-13 09:22:51,"(Unknown)","튜터님 디자인 관련 질문잉데요 ...!

메인작업하실때 가로비율은 그리드 12칼럼으로 나눠서 작업하는데 높이값비율들은 어떻게 작업하시나요? 
페이지 전체적으로 비율이 맞게 
컨텐츠높이값 각컨텐츠마다 어떻게 줘야할지 모르겠어요 ㅠㅠ 그리드로 가로값만드는것처럼 비율규칙이있나요?"
2023-10-13 09:23:05,"(Unknown)","Emoticon"
2023-10-13 09:35:29,"돼지마","높이와 여백 보통 8px그리드 사용할거에요"
2023-10-13 09:39:37,"(Unknown)"," 감사합니다 ㅠㅠ 이쁜사이트들보면 각 컨텐츠들 높이값들이 비율에 맞게 잘되어잇어서 
하나를 사이즈 정하면 (40*80)그비율에 따라 다른 파트 컨텐츠들도 한메인안에서 규칙을 정하나 했어요....!!ㅠㅠ 그런건 옶는거죵..??

예를들어 40*80이면 다른 타이틀을 가진 컨텐츠 높이값도 이비율에서 뭘해서 같이 가져가는 규칙...??

메인한페이지안에 배너, 추천컨텐츠, 베스트컨텐츠, 등등 이런것들에 사각형(?) 높이값비율이요! "
2023-10-13 10:40:30,"피그마부수기","Photo"
2023-10-13 10:41:05,"피그마부수기","안녕하세요.. 혹시 이 서체 볼드 조절 안되는 이유 아시는 분 있을까요..? 다른곳에서는 조절이 다되는데 피그마에서는 안되네요 ㅠㅠㅠ"
2023-10-13 10:41:47,"비비","비비 left this chatroom."
2023-10-13 10:42:06,"김세진","볼드도 다운 받으셨었나요?"
2023-10-13 10:42:35,"피그마부수기","넵. 다 받았고, XD에서는 서체 볼드별로 다 사용하고 있거든요 ㅠㅠ"
2023-10-13 10:45:45,"주예진","주예진 joined this chatroom."
2023-10-13 10:53:33,".","저도 궁금한 것이 있는데 피그나 내에 팀을 생성하고 A 프로젝트에서 배리어블을 사용하고 있는데요. B 프로젝트에서 A에 있던 배리어블 정보를 불러올 방법이 있을까요? 라이브러리를 불러올 때 컴포넌트만 불러와지고 스타일이나 배리어블은 불러와 지지 않아서요."
2023-10-13 10:54:20,".","Publish 할때는 분명 스타일이랑 배리어블 정보가 있었는데.. B 프로젝트에서 불러오니 그건 보여지지 않네요!"
2023-10-13 11:15:33,"양손 엄지척 무지","안녕하세요! 얼마 전 UIUX 신입으로 에이전시에 입사했습니다.

근데 회사에서 프로토타입을 위해 프레이머를 공부하라고 하셨는데요.
피그마에서도 프레이머 만큼의 프로토타입 구현이 가능할까요?"
2023-10-13 11:28:33,"씩씩거리는 무지","피그마는 아직 프레이머를 따라오진 못하는 상황입니다욤"
2023-10-13 11:28:56,"씩씩거리는 무지","프로토타입은 프레이머가 짱이긴한데, 퍼블 이해가 있어야되요"
2023-10-13 11:29:23,"양손 엄지척 무지","퍼블에 대한 이해가 없어서 그런지 프레이머 장벽이 높게 느껴지네요ㅜㅜ"
2023-10-13 11:29:56,"씩씩거리는 무지","저도 진짜 초본데 html/css까지만 이해해도 도움 많이되요"
2023-10-13 11:30:09,"씩씩거리는 무지","'아 이게 이거엿어?'이러면서 계속 매력에 빠집니다"
2023-10-13 11:31:57,"양손 엄지척 무지","혹시 html/css도 독학으로 공부하셨나요?"
2023-10-13 11:34:12,"라이언&","프레이머도 피그마처럼 웹 기반인가요?"
2023-10-13 11:34:35,"졸린 라이언","이거는 매우 쉬워서 그냥 유투브만 봐도 이해 가능합니다."
2023-10-13 11:34:54,"벌 서는 라이언","다들 프레이머는 어떻게 공부하시나요?"
