영문,한글,최종 확인 여부
Affinity diagram,친화도 다이어그램,
advanced stroke menu,고급 선 설정 메뉴,
after delay trigger,애프터 딜레이 트리거,
auto layout frame,자동 레이아웃 프레임,
annotation,어노테이션,
action,액션,
auto layout child,자동 레이아웃 자식 요소,
advocate,옹호자,
auto layout,자동 레이아웃,
assets panel,에셋 패널,
assets,에셋,
accessibility,접근성,
border,테두리,
board,보드,
can view,열람 가능,
bounding box,바운딩 박스,
clip content,콘텐츠 숨기기,
competitor analysis,경쟁사 분석,
Collection,컬렉션,
Components,컴포넌트,
component,컴포넌트,
can edit,편집 가능,
business model canvas,비즈니스 모델 캔버스,
background,배경,
boolean groups,부울 그룹,
collaborative tools,협업 도구,
branch,브랜치,
brainstorming,브레인스토밍,
blend mode,블렌드 모드,
browser,브라우저,
bootcamp,부트캠프,
collaborator,공동작업자,
Background blur,배경 흐림,
brainstorm,아이디어를 구상하다,
connection,연결,
auto layout parent,자동 레이아웃 부모 요소,
canvas,캔버스,
Autolayout,자동 레이아웃,
code block,코드 블록,
blur,흐림,
Branching,분기,
Config 2024,Config 2024,
color wheel,색상환,
comment,댓글,
design,디자인,
consistency,일관성,
design panel,디자인 패널,
consistent,일관적,
Design System,디자인 시스템,
Concept map,콘셉트 맵,
dash,점선,
default role,기본 역할,
design system analytics,디자인 시스템 분석,
cursor chat,커서 채팅,
CSS,CSS,
constraint,제약조건,
design system,디자인 시스템,
Design Assets,디자인 에셋,
Education plan,에듀케이션 요금제,
contributor,컨트리뷰터,
doodle,스케치,
dissolve transition,디졸브 전환,
effects,효과,
DS,디지털 시스템,
endpoint,엔드포인트,
Figma Organization,Figma 오거니제이션,
Figma community,Figma 커뮤니티,
Figma Beta,Figma Beta,
Figma Designers,Figma 디자이너,
feedback,피드백,
Figma Service,FigmaService,
Figma service,Figma 서비스,
emote / stamp wheel,이모티콘 / 스탬프 휠,
editor,"편집자, 편집기",
Figma Community,Figma Community|Figma 커뮤니티,
Figma Education,Figma 에듀케이션,
Figma Enterprise,Figma 엔터프라이즈,
flow,흐름,
First Draft,First Draft,
Figma Design,Figma Design,
Education team,에듀케이션 팀,
Figma Professional,Figma 프로페셔널,
,,
full,풀,
Figma Slides,Figma Slides,
full FigJam seat,FigJam 풀 시트,
Focus View,포커스 보기,
FigJam,FigJam,
Figma AI,Figma AI,
Flow chart,플로우차트,
full Figma seat,Figma 풀 시트,
GraphQL,GraphQL,
duration,지속 시간,
hotspot,핫스팟,
Config,Config,
HSB,HSB,
full Figma design seat,Figma Design 풀 시트,
horizontal scrolling,가로 스크롤,
folder,폴더,
hard code,하드코딩,
HSL,HSL,
Grid,그리드,
Full seat,풀 시트,
GDPR,GDPR(개인정보 보호법),
Hex,Hex,
hard code,하드코딩,
connector,커넥터,
cost center,비용 센터,
Design Status,디자인 상태,
Enterprise plan,엔터프라이즈 요금제,
Design mode,디자인 모드,
fill,채우기,
Developer handoff,개발자 핸드오프,
Creator fund,크리에이터 펀드,
eraser,지우개,
dash cap,선 끝 처리,
instance,인스턴스,
Invite,초대하기,
layers panel,레이어 패널,
Kotlin,Kotlin,
Layout blur,레이아웃 흐림,
Libraries,라이브러리,
Little Big Updates,소소하지만 강력한 업데이트,
Gantt chart,간트 차트,
glyph,글리프,
library,라이브러리,
Impact effort matrix,영향 노력 매트릭스,
kit,키트,
kits,키트,
interface,인터페이스,
high five,하이파이브,
