조직명,분류,상태,시기,횟수,근거 소스
삼성,대기업·계열,강의 진행,2026-06,1회,구글캘린더
삼성SDS,대기업·계열,강의 진행,2023-12 ~ 2025-11,5회+,"애플캘린더, 인스타"
SK,대기업·계열,강의 진행,2025-03,2일 과정,"Gmail, 구글캘린더"
SK텔레콤,대기업·계열,강의 진행,2023-11,1회,애플캘린더
LG전자,대기업·계열,강의 진행,2026-08,1회,"Gmail, 인스타"
HSAD (LG애드),대기업·계열,강의 진행,2026-08 ~ 09,2회+,"Gmail, 인스타"
LG유플러스,대기업·계열,강의 진행,2026-08 ~ 09,2차수,Gmail (패스트캠퍼스 경유)
KT,대기업·계열,강의 진행,2026-06,1회,인스타
현대자동차,대기업·계열,강의 진행,2024-04 ~ 06,3회,"애플캘린더, 인스타"
현대카드,대기업·계열,강의 진행,2025-10,3회+,"애플캘린더, 인스타"
GS리테일,대기업·계열,강의 진행,2026-05 ~ 06,2회+,"Gmail, 인스타"
CJ그룹 (인재원·Youniverse),대기업·계열,강의 진행,2026-04 ~ 07,3회+,인스타
CJ올리브영,대기업·계열,강의 진행,"2024-09, 2026-05",2회,"Gmail, 인스타"
CJ올리브네트웍스,대기업·계열,강의 진행,"2025-07, 2026-05",2회,"Gmail, 인스타"
이노플레이 (CJ그룹사),대기업·계열,강의 진행,2026-05,1회,인스타
하나금융그룹,금융,강의 진행,2023-04,1회,애플캘린더
NH투자증권,금융,강의 진행,"2024-08, 2026-04",2회,"애플캘린더, 인스타"
키움증권,금융,강의 진행,2025-10,4회,"애플캘린더, 인스타"
롯데카드,금융,강의 진행,2024-10,1회,애플캘린더
카카오뱅크,금융,강의 진행,2026-05 ~ 06,2회,"구글캘린더, 인스타"
카카오페이손해보험,금융,문의·미팅,2026-04,-,Tally 신청
NICE평가정보,금융,강의 진행,2026-08 ~ 09,2차수,"Gmail, 인스타"
인바디,기타 기업,강의 진행,2025-01,1회,애플캘린더
NHN,IT·플랫폼,강의 진행,2024-02 ~ 2026-09,10회+ (최다),전체 소스
NHN ad,IT·플랫폼,강의 진행,"2025-05, 2025-09",2회,"애플캘린더, 인스타"
네이버Z,IT·플랫폼,강의 진행,2024-10,1회,애플캘린더
카카오,IT·플랫폼,강의 진행,2024-11 ~ 2026-02,8회+,"애플캘린더, 인스타"
카카오엔터테인먼트,IT·플랫폼,강의 진행,2026-04 ~ 05,2회,"구글캘린더, 인스타"
카카오스타일,IT·플랫폼,강의 진행,2024,1회,인스타
우아한형제들 (배달의민족),IT·플랫폼,강의 진행,2023-10 ~ 2024-09,5회+,"애플캘린더, 인스타"
넥슨,IT·플랫폼,강의 진행,2025-04 ~ 2026-06,3회,"애플캘린더, 인스타"
티맵모빌리티,IT·플랫폼,강의 진행,"2025-03, 2025-11",2회,"Gmail, 인스타"
야놀자 / NOL,IT·플랫폼,강의 진행,"2025-07, 2026-06",2회+,"Gmail, 인스타"
여기어때,IT·플랫폼,강의 진행,2025-06,2회,"애플캘린더, 인스타"
버킷플레이스 (오늘의집),IT·플랫폼,강의 진행,2024-08,1회,"애플캘린더, 인스타"
리디,IT·플랫폼,강의 진행,2025-05,1회,"애플캘린더, 인스타"
밀리의 서재,IT·플랫폼,강의 진행,2025-05,1회,"애플캘린더, 인스타"
와디즈,IT·플랫폼,강의 진행,2025-01,1회,"애플캘린더, 인스타"
화해,IT·플랫폼,강의 진행,2025-01,1회,"애플캘린더, 인스타"
번개장터,IT·플랫폼,강의 진행,2024-12,1회,인스타
크몽,IT·플랫폼,강의 진행,2025-04,1회,"애플캘린더, 인스타"
잡플래닛,IT·플랫폼,강의 진행,2025-06,1회,애플캘린더
NRISE (엔라이즈),IT·플랫폼,강의 진행,2025-04,1회,"애플캘린더, 인스타"
알서포트,IT·플랫폼,강의 진행,2025-02,1회,"애플캘린더, 인스타"
디비피아 (DBpia),IT·플랫폼,강의 진행,2026-06,1회,인스타
앳홈,IT·플랫폼,강의 진행,2025-03,1회,애플캘린더
디어스,IT·플랫폼,강의 진행,2025,1회,인스타
오픈패스,IT·플랫폼,강의 진행,"2024-09, 2025-01",2회,애플캘린더
단군소프트,IT·플랫폼,강의 진행,2025-01,주간 과정,Gmail
시엔티테크,IT·플랫폼,강의 진행,2025-07,1회,애플캘린더
알제곱,IT·플랫폼,강의 진행,2026-06,1회,"애플캘린더, 인스타"
MTOU,IT·플랫폼,강의 진행,2026-05,1회,"Gmail, 구글캘린더"
SBS,미디어·엔터,강의 진행,2025-04,2회,애플캘린더
iMBC,미디어·엔터,강의 진행,2025-09,2차수,인스타
JYP엔터테인먼트,미디어·엔터,강의 진행,2024-12,1회,인스타
위버스 (weverse),미디어·엔터,강의 진행,2025-02,1회,애플캘린더
전자신문인터넷,미디어·엔터,강의 진행,2026-01,1회,구글캘린더
테크42,미디어·엔터,강의 진행,2024-11,1회,애플캘린더
아모레퍼시픽,유통·소비재,강의 진행,2024-10,1회,인스타
이니스프리,유통·소비재,강의 진행,2024-10,1회,"애플캘린더, 인스타"
러쉬코리아,유통·소비재,강의 진행,2024-12,1회,"애플캘린더, 인스타"
실리콘투,유통·소비재,강의 진행,2025-02,1회,"애플캘린더, 인스타"
호텔신라,유통·소비재,강의 진행,2026-08,2회,"Gmail, 인스타"
신라면세점,유통·소비재,강의 진행,2023-12,1회,애플캘린더
레모네이드,유통·소비재,강의 진행,2024-06,3회,"애플캘린더, 인스타"
해피문데이,유통·소비재,강의 진행,2024-11,1회,애플캘린더
더워터멜론,유통·소비재,강의 진행,2026-04,1회 (컨설팅),인스타
골드앤컴퍼니,유통·소비재,강의 진행,2026-04 ~ 05,2회,"Gmail, 구글캘린더, 인스타"
룩캐스트,유통·소비재,강의 진행,2026-04 ~ 05,2회,"Gmail, 인스타"
패스트캠퍼스 (데이원컴퍼니),교육·HRD,강의 진행,2024-12 ~ 2026-09,다수,"Gmail, 애플캘린더"
멀티캠퍼스,교육·HRD,강의 진행,2025-07,1회,애플캘린더
콜로소,교육·HRD,강의 진행,2024-11,녹화 제작,애플캘린더
코멘토,교육·HRD,강의 진행,"2022, 2024-08, 2025-01",3회+,"애플캘린더, Gmail"
탈잉,교육·HRD,강의 진행,2022-01,1회,애플캘린더
제로베이스,교육·HRD,강의 진행,2024-12,1회,애플캘린더
디프렙,교육·HRD,강의 진행,2024-11,1회,애플캘린더
노트폴리오,교육·HRD,강의 진행,2023-12,1회,애플캘린더
러닝스푼즈,교육·HRD,강의 진행,2024-04,1회,애플캘린더
지피터스,교육·HRD,강의 진행,2026-06,1회,애플캘린더
에스티유니타스,교육·HRD,강의 진행,2024-07,1회,애플캘린더
오픈놀,교육·HRD,강의 진행,2025-04,4회,애플캘린더
온오프믹스,교육·HRD,강의 진행,2025-02,1회,애플캘린더
듀오톤,기타 기업,강의 진행,2023-12,1회,애플캘린더
다빈치,기타 기업,강의 진행,2025-04,1회,Gmail
더디엔에이,기타 기업,강의 진행,2025-09,1회,애플캘린더
아메바,기타 기업,강의 진행,2024-11,1회,애플캘린더
필그림,기타 기업,강의 진행,2024-07,1회,애플캘린더
누리미디어,기타 기업,강의 진행,2026-05,1회,구글캘린더
헤즈 / 반프,기타 기업,강의 진행,2025-02,1회,애플캘린더
홍익대학교,대학,강의 진행,2025-01 ~ 02,특강,"애플캘린더, 인스타"
성균관대학교 (RISE 사업단),대학,강의 진행,2026-02,특강,인스타
덕성여자대학교,대학,강의 진행,2024-12,특강,"Gmail, 애플캘린더"
명지전문대학,대학,강의 진행,미상,특강,사용자 확인
인천가톨릭대학교,대학,강의 진행,2026-09,2차시,"Gmail, 구글캘린더"
수원대학교,대학,강의 진행,2025-06,특강,"Gmail, 애플캘린더"
경남대학교,대학,강의 진행,2024-10,특강,애플캘린더
대한상공회의소 경기인력개발원,공공·기관,강의 진행,2026-09,1회,"Gmail, 인스타"
